no,time,count,message size,span(ns),max(ns),min(ns),avg(ns)
392,2023.03.06 16:58:18,1024,200,2265788,33397,716,2212
393,2023.03.06 16:58:20,1024,200,28454255,264928,752,27787
394,2023.03.06 16:58:23,1024,200,1191446191,1816821,416079,1163521
395,2023.03.06 16:58:25,1024,200,1719789,18587,720,1679
396,2023.03.06 16:58:27,1024,200,2637047,35148,729,2575
397,2023.03.06 16:58:30,1024,200,36172457,229317,726,35324
398,2023.03.06 16:58:32,1024,200,19489781,259323,657,19032
399,2023.03.06 16:58:34,1024,200,96322676,447681,719,94065
400,2023.03.06 16:58:37,1024,200,20311966,374222,713,19835
401,2023.03.06 16:58:39,1024,200,1711031,19168,696,1670
402,2023.03.06 16:58:41,1024,200,2976076,82358,672,2906
403,2023.03.06 16:58:44,1024,200,29461167,259442,757,28770
404,2023.03.06 16:58:46,1024,200,1559997,17996,731,1523
405,2023.03.06 16:58:48,1024,200,33579432,208125,683,32792
406,2023.03.06 16:58:51,1024,200,2516607,325865,758,2457
407,2023.03.06 16:58:53,1024,200,1921539,273721,615,1876
408,2023.03.06 16:58:55,1024,200,19394159,217270,698,18939
409,2023.03.06 16:58:58,1024,200,1642352,80184,718,1603
410,2023.03.06 16:59:01,1024,200,2288499,542029,684,2234
411,2023.03.06 16:59:03,1024,200,1581861,21534,730,1544
412,2023.03.06 16:59:05,1024,200,6454466,64398,700,6303
413,2023.03.06 16:59:07,1024,200,120937545,579181,933,118103
414,2023.03.06 16:59:10,1024,200,1678112,15603,716,1638
415,2023.03.06 16:59:12,1024,200,2710720,245706,709,2647
416,2023.03.06 16:59:14,1024,200,19840882,228057,708,19375
417,2023.03.06 16:59:17,1024,200,1696028,14952,636,1656
418,2023.03.06 16:59:19,1024,200,51881005,341144,705,50665
419,2023.03.06 16:59:21,1024,200,1954899,16594,714,1909
420,2023.03.06 16:59:24,1024,200,1360774859,2336233,788,1328881
421,2023.03.06 16:59:26,1024,200,465641436,1002454,740,454727
422,2023.03.06 16:59:29,1024,200,13786604,769987,740,13463
423,2023.03.06 16:59:31,1024,200,11704601,145866,769,11430
424,2023.03.06 16:59:33,1024,200,85461787,503760,789,83458
425,2023.03.06 16:59:35,1024,200,2123532,25265,730,2073
426,2023.03.06 16:59:38,1024,200,2004508,52048,727,1957
427,2023.03.06 16:59:40,1024,200,1660317,140233,709,1621
428,2023.03.06 16:59:42,1024,200,1710725,19732,666,1670
429,2023.03.06 16:59:45,1024,200,311773388,1794671,788,304466
430,2023.03.06 16:59:47,1024,200,54542865,386843,726,53264
